Compound,0.02 V,0.1 V,0.5 V,1 V,5 V
10⁹ (CFU/ml),-1.66882e-05,-1.71236e-05,-3.92605e-05,-0.000104302,-0.00223
10⁹ (CFU/ml),-1.66757e-05,-1.70055e-05,-3.85237e-05,-0.000100656,-0.00213
10⁹ (CFU/ml),-1.66659e-05,-1.68854e-05,-3.77908e-05,-9.70783e-05,-0.00203
10⁹ (CFU/ml),-1.66594e-05,-1.67668e-05,-3.70579e-05,-9.35243e-05,-0.00195
10⁹ (CFU/ml),-1.66489e-05,-1.66443e-05,-3.6328e-05,-8.9978e-05,-0.00186
10⁹ (CFU/ml),-1.66365e-05,-1.65199e-05,-3.55999e-05,-8.64263e-05,-0.00176
10⁹ (CFU/ml),-1.66231e-05,-1.63967e-05,-3.48667e-05,-8.28994e-05,-0.00165
10⁹ (CFU/ml),-1.66091e-05,-1.62654e-05,-3.41379e-05,-7.9392e-05,-0.00156
10⁹ (CFU/ml),-1.65963e-05,-1.61393e-05,-3.34082e-05,-7.59202e-05,-0.00148
10⁹ (CFU/ml),-1.65824e-05,-1.60085e-05,-3.26807e-05,-7.24569e-05,-0.00139
10⁹ (CFU/ml),-1.65672e-05,-1.58833e-05,-3.19542e-05,-6.90309e-05,-0.0013
10⁹ (CFU/ml),-1.65507e-05,-1.57537e-05,-3.12276e-05,-6.56167e-05,-0.00121
10⁹ (CFU/ml),-1.65365e-05,-1.56207e-05,-3.05039e-05,-6.21356e-05,-0.00113
10⁹ (CFU/ml),-1.65245e-05,-1.54855e-05,-2.97816e-05,-5.90024e-05,-0.00104
10⁹ (CFU/ml),-1.65156e-05,-1.53523e-05,-2.90625e-05,-5.60772e-05,-0.000962181
10⁹ (CFU/ml),-1.65047e-05,-1.52193e-05,-2.83437e-05,-5.32969e-05,-0.000877663
10⁹ (CFU/ml),-1.64971e-05,-1.50875e-05,-2.76273e-05,-5.04941e-05,-0.000786231
10⁹ (CFU/ml),-1.6494e-05,-1.49538e-05,-2.69105e-05,-4.78025e-05,-0.000688686
10⁹ (CFU/ml),-1.64886e-05,-1.48309e-05,-2.61964e-05,-4.52036e-05,-0.000585729
10⁹ (CFU/ml),-1.64799e-05,-1.47069e-05,-2.54811e-05,-4.26914e-05,-0.000485221
10⁹ (CFU/ml),-1.64712e-05,-1.45861e-05,-2.47685e-05,-4.028e-05,-0.000398722
10⁹ (CFU/ml),-1.64615e-05,-1.44647e-05,-2.40535e-05,-3.79556e-05,-0.000322592
10⁹ (CFU/ml),-1.64511e-05,-1.43391e-05,-2.33415e-05,-3.57043e-05,-0.00024969
10⁹ (CFU/ml),-1.64191e-05,-1.42144e-05,-2.26322e-05,-3.35339e-05,-0.000178389
10⁹ (CFU/ml),-1.63972e-05,-1.40922e-05,-2.19236e-05,-3.14369e-05,-0.000124281
10⁹ (CFU/ml),-1.63837e-05,-1.39696e-05,-2.12147e-05,-2.94055e-05,-8.33896e-05
10⁹ (CFU/ml),-1.63764e-05,-1.38465e-05,-2.05111e-05,-2.74543e-05,-4.87653e-05
10⁹ (CFU/ml),-1.63803e-05,-1.37216e-05,-1.9816e-05,-2.55768e-05,-2.70084e-05
10⁹ (CFU/ml),-1.63866e-05,-1.36042e-05,-1.91084e-05,-2.37623e-05,-1.72456e-05
10⁹ (CFU/ml),-1.63892e-05,-1.34845e-05,-1.84111e-05,-2.20572e-05,-6.88051e-06
